都道府県ID,カテゴリID,スポット名,電話番号,Xアカウント,里親募集,譲渡会の開催,年齢制限
13,15,猫カフェ ねこのひみつ基地,+81 336558124,NekoHimitsukiti,0,0,0
13,15,しらさぎカフェ,+81 333305411,shirasagiah,1,0,0
13,15,NECOT COFFEE HOUSE,+81 338770082,necot_coffee,1,0,0
13,20,ポロン亭,+81 333922495,,1,0,0
13,15,ねこ広場,+81 423933949,XKdAPN74iO3IL09,1,1,0
13,15,猫カフェ にゃんくる 蒲田店,+81 364247272,nyankuru,1,0,1
13,24,保護猫シェルターゆうなぎ,+81 7066318950,Cafeyuunagi,1,0,0
28,15,cat cafe MIACIS ねこまみれ 神戸元町店,+81 90-4645-7579,msCwFAI7RCYBNW0,0,0,0
28,15,cat cafe Nyanny 神戸店,+81 78-391-5420,nyannystuff,0,0,3
28,15,猫カフェ 猫の屋おでん,+81 78-805-2215,nekonoya_oden,0,1,0
28,15,猫カフェ nekonoto 神戸,+81 78-733-8777,,0,0,0
28,15,猫カフェ 猫園おてて,+81 78-599-8998,nekozonoOTETE,0,0,0
28,15,猫カフェMOCHA（モカ）神戸三宮店,+81 78-600-0222,,0,0,6
28,17,神戸どうぶつ王国,+81 78-302-8899,kobe_doubutsu,0,0,1
28,15,【ねこ処】猫楽ゼーションHome,+81 789350598,,0,0,1
28,15,保護猫カフェ・カーロ,+81 9023502828,nekocafe_caro,1,1,0
28,15,cat cafe ねるこ,+81 9085382290,neconerco,1,0,0
28,15,カフェ&保護猫カフェあすなろ,+81 789252522,asunaro_neko,1,0,1
28,15,ねこcafe Salon de Kei,+81 9014828521,,0,0,1
28,15,猫カフェmof.mof,+81 792392546,,0,0,1
28,15,猫のおうち NECON(ねこん),+81 792802085,recon_cat4,0,0,1
28,15,cat cafe ねこびやか -黒猫cm-,+81 9067572810,,1,0,0
28,15,猫カフェかくれ家〜隠れ家〜,+81 9021010208,,1,0,0
28,15,保護犬＆猫カフェ しっぽの森,+81 792691115,,1,0,1
28,15,猫パラソル,+81 9051538273,,0,0,0
28,15,Cafe calico,+81 786009637,,0,0,0
28,15,ティンカーベル,+81 791526037,,0,1,0
28,21,あにまるカフェR.U.D.E.(神戸､爬虫類､小動物､猛禽類等),+81 9096290705,cafe_rude_0711,0,0,0
28,15,toneko,+81 8057702828,,1,0,0
28,15,くつろぎ古民家まめ猫・猫カフェ,+81 795588478,mameneko_cafe,0,1,0
28,15,里親探しの猫カフェ 猫結び,+81 8092817061,nekomusu_sanda,1,0,0
28,15,ねこ空間CYAMOLA,+81 9036514554,,0,0,6
28,15,保護犬保護猫カフェ 川西店,+81 727551020,hogokencafekawa,1,1,0
28,20,カフェプント,+81 789111015,,0,0,0
28,15,ひなたぼっこ,+81 798670699,,0,0,6
28,20,ぎんのちゃや,+81 798770340,,0,0,0
28,15,保護猫かふぇ リアン,+81 664263131,,1,0,0
28,21,MOFiiNA,+81 784411178,MOFiiNA,1,0,1
28,15,カフェ 猫時間,+81 9014882200,,1,0,0
28,15,保護猫カフェPili Ohana,+81 9078861269,,1,1,1
28,15,保護猫カフェ ラゾーニャ,+81 798275820,hogonekolazonya,1,0,0
28,21,北野坂 か和うそ Cafe,+81 782219708,kawausocafe,0,0,3
28,15,猫カフェ アイドルズー,+81 8089270011,,1,0,6
28,20,気ままなイタリアン チャーリー,+81 787792213,KimarianCharry,0,0,0
28,22,古本屋 ワールドエンズ・ガーデン,+81 787799389,worldendsgarden,0,0,0
28,20,あんど the BAR,+81 5054876840,,0,0,0
28,18,須磨観光ハウス味と宿花月,+81 787313751,,0,0,0
28,15,猫カフェ スマイルアゲイン,+81 9052572828,,1,0,0
28,22,neko*san,+81 798480228,,0,0,0
28,23,神崎農村公園ヨーデルの森,+81 790322911,,0,0,0
